Nuclide;Z;N;A;Nuclide
Tb-147;65;82;147;147Tb
Tb-147;65;82;147;147Tb
Tb-146;65;81;146;146Tb
Tb-146;65;81;146;146Tb
Tb-146;65;81;146;146Tb
Tb-149;65;84;149;149Tb
Tb-149;65;84;149;149Tb
Tb-149;65;84;149;149Tb
Tb-149;65;84;149;149Tb
Tb-148;65;83;148;148Tb
Tb-148;65;83;148;148Tb
Tb-151;65;86;151;151Tb
Tb-151;65;86;151;151Tb
Tb-151;65;86;151;151Tb
Tb-151;65;86;151;151Tb
Tb-150;65;85;150;150Tb
Tb-150;65;85;150;150Tb
Tb-150;65;85;150;150Tb
Tb-153;65;88;153;153Tb
Tb-152;65;87;152;152Tb
Tb-152;65;87;152;152Tb
Tb-152;65;87;152;152Tb
Tb-152;65;87;152;152Tb
Tb-154;65;89;154;154Tb
Tb-154;65;89;154;154Tb
Tb-154;65;89;154;154Tb
Tb-154;65;89;154;154Tb
Tb-154;65;89;154;154Tb
Tb-154;65;89;154;154Tb
Tb-154;65;89;154;154Tb
Tb-156;65;91;156;156Tb
Tb-156;65;91;156;156Tb
Tb-156;65;91;156;156Tb
Tb-156;65;91;156;156Tb
Tb-155;65;90;155;155Tb
Tb-158;65;93;158;158Tb
Tb-158;65;93;158;158Tb
Tb-158;65;93;158;158Tb
Tb-158;65;93;158;158Tb
Tb-158;65;93;158;158Tb
Tb-158;65;93;158;158Tb
Tb-157;65;92;157;157Tb
Tb-160;65;95;160;160Tb
Tb-159;65;94;159;159Tb
Tb-162;65;97;162;162Tb
Tb-161;65;96;161;161Tb
Tb-164;65;99;164;164Tb
Tb-163;65;98;163;163Tb
Tb-136;65;71;136;136Tb
Tb-135;65;70;135;135Tb
Tb-138;65;73;138;138Tb
Tb-138;65;73;138;138Tb
Tb-137;65;72;137;137Tb
Tb-137;65;72;137;137Tb
Tb-140;65;75;140;140Tb
Tb-140;65;75;140;140Tb
Tb-139;65;74;139;139Tb
Tb-139;65;74;139;139Tb
Tb-142;65;77;142;142Tb
Tb-142;65;77;142;142Tb
Tb-142;65;77;142;142Tb
Tb-141;65;76;141;141Tb
Tb-141;65;76;141;141Tb
Tb-144;65;79;144;144Tb
Tb-144;65;79;144;144Tb
Tb-144;65;79;144;144Tb
Tb-143;65;78;143;143Tb
Tb-143;65;78;143;143Tb
Dy-138;66;72;138;138Dy
Dy-141;66;75;141;141Dy
Dy-141;66;75;141;141Dy
Dy-142;66;76;142;142Dy
Dy-142;66;76;142;142Dy
Dy-139;66;73;139;139Dy
Dy-139;66;73;139;139Dy
Dy-140;66;74;140;140Dy
Dy-145;66;79;145;145Dy
Dy-145;66;79;145;145Dy
Dy-145;66;79;145;145Dy
Dy-145;66;79;145;145Dy
Dy-143;66;77;143;143Dy
Dy-143;66;77;143;143Dy
Dy-143;66;77;143;143Dy
Dy-143;66;77;143;143Dy
Dy-144;66;78;144;144Dy
Dy-144;66;78;144;144Dy
Dy-148;66;82;148;148Dy
Dy-149;66;83;149;149Dy
Dy-149;66;83;149;149Dy
Dy-149;66;83;149;149Dy
Dy-146;66;80;146;146Dy
Dy-146;66;80;146;146Dy
Dy-147;66;81;147;147Dy
Dy-147;66;81;147;147Dy
Dy-147;66;81;147;147Dy
Dy-147;66;81;147;147Dy
Dy-152;66;86;152;152Dy
Dy-152;66;86;152;152Dy
Dy-153;66;87;153;153Dy
Dy-153;66;87;153;153Dy
Dy-150;66;84;150;150Dy
Dy-150;66;84;150;150Dy
Dy-151;66;85;151;151Dy
Dy-151;66;85;151;151Dy
Dy-154;66;88;154;154Dy
Dy-155;66;89;155;155Dy
Dy-156;66;90;156;156Dy
Dy-159;66;93;159;159Dy
Dy-160;66;94;160;160Dy
Dy-157;66;91;157;157Dy
Dy-157;66;91;157;157Dy
Dy-158;66;92;158;158Dy
Dy-163;66;97;163;163Dy
Dy-164;66;98;164;164Dy
Dy-161;66;95;161;161Dy
Dy-162;66;96;162;162Dy
Dy-165;66;99;165;165Dy
Dy-165;66;99;165;165Dy
Dy-165;66;99;165;165Dy
Dy-176;66;110;176;176Dy
Dy-168;66;102;168;168Dy
Dy-167;66;101;167;167Dy
Dy-166;66;100;166;166Dy
Dy-172;66;106;172;172Dy
Dy-171;66;105;171;171Dy
Dy-170;66;104;170;170Dy
Dy-170;66;104;170;170Dy
Dy-169;66;103;169;169Dy
Dy-175;66;109;175;175Dy
Dy-174;66;108;174;174Dy
Dy-173;66;107;173;173Dy
Ho-140;67;73;140;140Ho
Ho-143;67;76;143;143Ho
Ho-143;67;76;143;143Ho
Ho-144;67;77;144;144Ho
Ho-144;67;77;144;144Ho
Ho-141;67;74;141;141Ho
Ho-142;67;75;142;142Ho
Ho-142;67;75;142;142Ho
Ho-145;67;78;145;145Ho
Ho-146;67;79;146;146Ho
Ho-147;67;80;147;147Ho
Ho-150;67;83;150;150Ho
Ho-150;67;83;150;150Ho
Ho-150;67;83;150;150Ho
Ho-151;67;84;151;151Ho
Ho-151;67;84;151;151Ho
Ho-151;67;84;151;151Ho
Ho-151;67;84;151;151Ho
Ho-148;67;81;148;148Ho
Ho-148;67;81;148;148Ho
Ho-148;67;81;148;148Ho
Ho-148;67;81;148;148Ho
Ho-149;67;82;149;149Ho
Ho-149;67;82;149;149Ho
Ho-154;67;87;154;154Ho
Ho-154;67;87;154;154Ho
Ho-154;67;87;154;154Ho
Ho-154;67;87;154;154Ho
Ho-155;67;88;155;155Ho
Ho-155;67;88;155;155Ho
Ho-152;67;85;152;152Ho
Ho-152;67;85;152;152Ho
Ho-152;67;85;152;152Ho
Ho-152;67;85;152;152Ho
Ho-153;67;86;153;153Ho
Ho-153;67;86;153;153Ho
Ho-153;67;86;153;153Ho
Ho-153;67;86;153;153Ho
Ho-156;67;89;156;156Ho
Ho-156;67;89;156;156Ho
Ho-156;67;89;156;156Ho
Ho-156;67;89;156;156Ho
Ho-157;67;90;157;157Ho
Ho-158;67;91;158;158Ho
Ho-158;67;91;158;158Ho
Ho-158;67;91;158;158Ho
Ho-158;67;91;158;158Ho
Ho-158;67;91;158;158Ho
Ho-161;67;94;161;161Ho
Ho-161;67;94;161;161Ho
Ho-162;67;95;162;162Ho
Ho-162;67;95;162;162Ho
Ho-162;67;95;162;162Ho
Ho-159;67;92;159;159Ho
Ho-159;67;92;159;159Ho
Ho-160;67;93;160;160Ho
Ho-160;67;93;160;160Ho
Ho-160;67;93;160;160Ho
Ho-160;67;93;160;160Ho
Ho-165;67;98;165;165Ho
Ho-166;67;99;166;166Ho
Ho-166;67;99;166;166Ho
Ho-163;67;96;163;163Ho
Ho-163;67;96;163;163Ho
Ho-164;67;97;164;164Ho
Ho-164;67;97;164;164Ho
Ho-164;67;97;164;164Ho
Ho-168;67;101;168;168Ho
Ho-168;67;101;168;168Ho
Ho-168;67;101;168;168Ho
Ho-167;67;100;167;167Ho
Ho-170;67;103;170;170Ho
Ho-170;67;103;170;170Ho
Ho-169;67;102;169;169Ho
Ho-172;67;105;172;172Ho
Ho-171;67;104;171;171Ho
Ho-174;67;107;174;174Ho
Ho-173;67;106;173;173Ho
Ho-176;67;109;176;176Ho
Ho-175;67;108;175;175Ho
Ho-177;67;110;177;177Ho
Ho-178;67;111;178;178Ho
Er-176;68;108;176;176Er
Er-175;68;107;175;175Er
Er-174;68;106;174;174Er
Er-173;68;105;173;173Er
Er-172;68;104;172;172Er
Er-171;68;103;171;171Er
Er-170;68;102;170;170Er
Er-169;68;101;169;169Er
Er-168;68;100;168;168Er
Er-177;68;109;177;177Er
Er-180;68;112;180;180Er
Er-179;68;111;179;179Er
Er-178;68;110;178;178Er
Er-142;68;74;142;142Er
Er-146;68;78;146;146Er
Er-146;68;78;146;146Er
Er-145;68;77;145;145Er
Er-145;68;77;145;145Er
Er-145;68;77;145;145Er
Er-144;68;76;144;144Er
Er-143;68;75;143;143Er
Er-147;68;79;147;147Er
Er-147;68;79;147;147Er
Er-147;68;79;147;147Er
Er-147;68;79;147;147Er
Er-149;68;81;149;149Er
Er-149;68;81;149;149Er
Er-149;68;81;149;149Er
Er-149;68;81;149;149Er
Er-149;68;81;149;149Er
Er-148;68;80;148;148Er
Er-153;68;85;153;153Er
Er-153;68;85;153;153Er
Er-152;68;84;152;152Er
Er-152;68;84;152;152Er
Er-151;68;83;151;151Er
Er-151;68;83;151;151Er
Er-151;68;83;151;151Er
Er-150;68;82;150;150Er
Er-157;68;89;157;157Er
Er-157;68;89;157;157Er
Er-156;68;88;156;156Er
Er-156;68;88;156;156Er
Er-155;68;87;155;155Er
Er-155;68;87;155;155Er
Er-154;68;86;154;154Er
Er-154;68;86;154;154Er
Er-160;68;92;160;160Er
Er-159;68;91;159;159Er
Er-158;68;90;158;158Er
Er-164;68;96;164;164Er
Er-163;68;95;163;163Er
Er-162;68;94;162;162Er
Er-161;68;93;161;161Er
Er-167;68;99;167;167Er
Er-167;68;99;167;167Er
Er-166;68;98;166;166Er
Er-165;68;97;165;165Er
Tm-144;69;75;144;144Tm
Tm-148;69;79;148;148Tm
Tm-147;69;78;147;147Tm
Tm-147;69;78;147;147Tm
Tm-147;69;78;147;147Tm
Tm-146;69;77;146;146Tm
Tm-146;69;77;146;146Tm
Tm-146;69;77;146;146Tm
Tm-146;69;77;146;146Tm
Tm-145;69;76;145;145Tm
Tm-151;69;82;151;151Tm
Tm-151;69;82;151;151Tm
Tm-150;69;81;150;150Tm
Tm-150;69;81;150;150Tm
Tm-149;69;80;149;149Tm
Tm-149;69;80;149;149Tm
Tm-155;69;86;155;155Tm
Tm-155;69;86;155;155Tm
Tm-155;69;86;155;155Tm
Tm-155;69;86;155;155Tm
Tm-154;69;85;154;154Tm
Tm-154;69;85;154;154Tm
Tm-154;69;85;154;154Tm
Tm-154;69;85;154;154Tm
Tm-154;69;85;154;154Tm
Tm-153;69;84;153;153Tm
Tm-153;69;84;153;153Tm
Tm-153;69;84;153;153Tm
Tm-153;69;84;153;153Tm
Tm-152;69;83;152;152Tm
Tm-152;69;83;152;152Tm
Tm-158;69;89;158;158Tm
Tm-158;69;89;158;158Tm
Tm-157;69;88;157;157Tm
Tm-156;69;87;156;156Tm
Tm-156;69;87;156;156Tm
Tm-162;69;93;162;162Tm
Tm-162;69;93;162;162Tm
Tm-162;69;93;162;162Tm
Tm-161;69;92;161;161Tm
Tm-160;69;91;160;160Tm
Tm-160;69;91;160;160Tm
Tm-160;69;91;160;160Tm
Tm-159;69;90;159;159Tm
Tm-166;69;97;166;166Tm
Tm-166;69;97;166;166Tm
Tm-165;69;96;165;165Tm
Tm-164;69;95;164;164Tm
Tm-164;69;95;164;164Tm
Tm-164;69;95;164;164Tm
Tm-163;69;94;163;163Tm
Tm-168;69;99;168;168Tm
Tm-168;69;99;168;168Tm
Tm-167;69;98;167;167Tm
Tm-178;69;109;178;178Tm
Tm-177;69;108;177;177Tm
Tm-174;69;105;174;174Tm
Tm-174;69;105;174;174Tm
Tm-174;69;105;174;174Tm
Tm-173;69;104;173;173Tm
Tm-176;69;107;176;176Tm
Tm-175;69;106;175;175Tm
Tm-170;69;101;170;170Tm
Tm-170;69;101;170;170Tm
Tm-169;69;100;169;169Tm
Tm-172;69;103;172;172Tm
Tm-171;69;102;171;171Tm
Tm-181;69;112;181;181Tm
Tm-180;69;111;180;180Tm
Tm-182;69;113;182;182Tm
Tm-179;69;110;179;179Tm
Yb-149;70;79;149;149Yb
Yb-149;70;79;149;149Yb
Yb-148;70;78;148;148Yb
Yb-159;70;89;159;159Yb
Yb-156;70;86;156;156Yb
Yb-156;70;86;156;156Yb
Yb-155;70;85;155;155Yb
Yb-155;70;85;155;155Yb
Yb-158;70;88;158;158Yb
Yb-158;70;88;158;158Yb
Yb-157;70;87;157;157Yb
Yb-157;70;87;157;157Yb
Yb-152;70;82;152;152Yb
Yb-152;70;82;152;152Yb
Yb-151;70;81;151;151Yb
Yb-151;70;81;151;151Yb
Yb-151;70;81;151;151Yb
Yb-151;70;81;151;151Yb
Yb-151;70;81;151;151Yb
Yb-154;70;84;154;154Yb
Yb-154;70;84;154;154Yb
Yb-153;70;83;153;153Yb
Yb-153;70;83;153;153Yb
Yb-153;70;83;153;153Yb
Yb-150;70;80;150;150Yb
Yb-167;70;97;167;167Yb
Yb-166;70;96;166;166Yb
Yb-169;70;99;169;169Yb
Yb-169;70;99;169;169Yb
Yb-168;70;98;168;168Yb
Yb-163;70;93;163;163Yb
Yb-162;70;92;162;162Yb
Yb-165;70;95;165;165Yb
Yb-164;70;94;164;164Yb
Yb-161;70;91;161;161Yb
Yb-160;70;90;160;160Yb
Yb-171;70;101;171;171Yb
Yb-171;70;101;171;171Yb
Yb-170;70;100;170;170Yb
Yb-182;70;112;182;182Yb
Yb-181;70;111;181;181Yb
Yb-180;70;110;180;180Yb
Yb-175;70;105;175;175Yb
Yb-175;70;105;175;175Yb
Yb-174;70;104;174;174Yb
Yb-173;70;103;173;173Yb
Yb-172;70;102;172;172Yb
Yb-179;70;109;179;179Yb
Yb-178;70;108;178;178Yb
Yb-177;70;107;177;177Yb
Yb-177;70;107;177;177Yb
Yb-176;70;106;176;176Yb
Yb-176;70;106;176;176Yb
Yb-185;70;115;185;185Yb
Yb-184;70;114;184;184Yb
Yb-183;70;113;183;183Yb
Lu-173;71;102;173;173Lu
Lu-172;71;101;172;172Lu
Lu-172;71;101;172;172Lu
Lu-175;71;104;175;175Lu
Lu-174;71;103;174;174Lu
Lu-174;71;103;174;174Lu
Lu-174;71;103;174;174Lu
Lu-177;71;106;177;177Lu
Lu-177;71;106;177;177Lu
Lu-177;71;106;177;177Lu
Lu-177;71;106;177;177Lu
Lu-176;71;105;176;176Lu
Lu-176;71;105;176;176Lu
Lu-176;71;105;176;176Lu
Lu-179;71;108;179;179Lu
Lu-179;71;108;179;179Lu
Lu-178;71;107;178;178Lu
Lu-178;71;107;178;178Lu
Lu-180;71;109;180;180Lu
Lu-182;71;111;182;182Lu
Lu-181;71;110;181;181Lu
Lu-171;71;100;171;171Lu
Lu-171;71;100;171;171Lu
Lu-184;71;113;184;184Lu
Lu-183;71;112;183;183Lu
Lu-186;71;115;186;186Lu
Lu-185;71;114;185;185Lu
Lu-188;71;117;188;188Lu
Lu-188;71;117;188;188Lu
Lu-187;71;116;187;187Lu
Lu-187;71;116;187;187Lu
Lu-158;71;87;158;158Lu
Lu-158;71;87;158;158Lu
Lu-157;71;86;157;157Lu
Lu-157;71;86;157;157Lu
Lu-157;71;86;157;157Lu
Lu-160;71;89;160;160Lu
Lu-160;71;89;160;160Lu
Lu-160;71;89;160;160Lu
Lu-160;71;89;160;160Lu
Lu-159;71;88;159;159Lu
Lu-159;71;88;159;159Lu
Lu-154;71;83;154;154Lu
Lu-154;71;83;154;154Lu
Lu-153;71;82;153;153Lu
Lu-153;71;82;153;153Lu
Lu-156;71;85;156;156Lu
Lu-156;71;85;156;156Lu
Lu-156;71;85;156;156Lu
Lu-155;71;84;155;155Lu
Lu-155;71;84;155;155Lu
Lu-155;71;84;155;155Lu
Lu-155;71;84;155;155Lu
Lu-155;71;84;155;155Lu
Lu-152;71;81;152;152Lu
Lu-152;71;81;152;152Lu
Lu-151;71;80;151;151Lu
Lu-151;71;80;151;151Lu
Lu-169;71;98;169;169Lu
Lu-169;71;98;169;169Lu
Lu-168;71;97;168;168Lu
Lu-168;71;97;168;168Lu
Lu-168;71;97;168;168Lu
Lu-170;71;99;170;170Lu
Lu-170;71;99;170;170Lu
Lu-165;71;94;165;165Lu
Lu-164;71;93;164;164Lu
Lu-167;71;96;167;167Lu
Lu-167;71;96;167;167Lu
Lu-167;71;96;167;167Lu
Lu-166;71;95;166;166Lu
Lu-166;71;95;166;166Lu
Lu-166;71;95;166;166Lu
Lu-166;71;95;166;166Lu
Lu-166;71;95;166;166Lu
Lu-161;71;90;161;161Lu
Lu-161;71;90;161;161Lu
Lu-163;71;92;163;163Lu
Lu-162;71;91;162;162Lu
Lu-162;71;91;162;162Lu
Lu-162;71;91;162;162Lu
Lu-150;71;79;150;150Lu
Lu-150;71;79;150;150Lu
Hf-161;72;89;161;161Hf
Hf-161;72;89;161;161Hf
Hf-159;72;87;159;159Hf
Hf-159;72;87;159;159Hf
Hf-160;72;88;160;160Hf
Hf-160;72;88;160;160Hf
Hf-157;72;85;157;157Hf
Hf-157;72;85;157;157Hf
Hf-158;72;86;158;158Hf
Hf-158;72;86;158;158Hf
Hf-155;72;83;155;155Hf
Hf-156;72;84;156;156Hf
Hf-156;72;84;156;156Hf
Hf-153;72;81;153;153Hf
Hf-154;72;82;154;154Hf
Hf-154;72;82;154;154Hf
Hf-170;72;98;170;170Hf
Hf-171;72;99;171;171Hf
Hf-171;72;99;171;171Hf
Hf-171;72;99;171;171Hf
Hf-168;72;96;168;168Hf
Hf-169;72;97;169;169Hf
Hf-166;72;94;166;166Hf
Hf-167;72;95;167;167Hf
Hf-164;72;92;164;164Hf
Hf-165;72;93;165;165Hf
Hf-162;72;90;162;162Hf
Hf-162;72;90;162;162Hf
Hf-163;72;91;163;163Hf
Hf-163;72;91;163;163Hf
Hf-181;72;109;181;181Hf
Hf-181;72;109;181;181Hf
Hf-180;72;108;180;180Hf
Hf-180;72;108;180;180Hf
Hf-180;72;108;180;180Hf
Hf-179;72;107;179;179Hf
Hf-179;72;107;179;179Hf
Hf-179;72;107;179;179Hf
Hf-178;72;106;178;178Hf
Hf-178;72;106;178;178Hf
Hf-178;72;106;178;178Hf
Hf-177;72;105;177;177Hf
Hf-177;72;105;177;177Hf
Hf-177;72;105;177;177Hf
Hf-176;72;104;176;176Hf
Hf-175;72;103;175;175Hf
Hf-174;72;102;174;174Hf
Hf-173;72;101;173;173Hf
Hf-172;72;100;172;172Hf
Hf-182;72;110;182;182Hf
Hf-182;72;110;182;182Hf
Hf-182;72;110;182;182Hf
Hf-190;72;118;190;190Hf
Hf-189;72;117;189;189Hf
Hf-188;72;116;188;188Hf
Hf-187;72;115;187;187Hf
Hf-186;72;114;186;186Hf
Hf-185;72;113;185;185Hf
Hf-184;72;112;184;184Hf
Hf-184;72;112;184;184Hf
Hf-183;72;111;183;183Hf
Hf-183;72;111;183;183Hf
Ta-161;73;88;161;161Ta
Ta-161;73;88;161;161Ta
Ta-161;73;88;161;161Ta
Ta-161;73;88;161;161Ta
Ta-162;73;89;162;162Ta
Ta-162;73;89;162;162Ta
Ta-159;73;86;159;159Ta
Ta-159;73;86;159;159Ta
Ta-159;73;86;159;159Ta
Ta-159;73;86;159;159Ta
Ta-160;73;87;160;160Ta
Ta-160;73;87;160;160Ta
Ta-160;73;87;160;160Ta
Ta-157;73;84;157;157Ta
Ta-157;73;84;157;157Ta
Ta-157;73;84;157;157Ta
Ta-157;73;84;157;157Ta
Ta-158;73;85;158;158Ta
Ta-158;73;85;158;158Ta
Ta-158;73;85;158;158Ta
Ta-158;73;85;158;158Ta
Ta-155;73;82;155;155Ta
Ta-156;73;83;156;156Ta
Ta-156;73;83;156;156Ta
Ta-156;73;83;156;156Ta
Ta-156;73;83;156;156Ta
Ta-172;73;99;172;172Ta
Ta-170;73;97;170;170Ta
Ta-171;73;98;171;171Ta
Ta-168;73;95;168;168Ta
Ta-169;73;96;169;169Ta
Ta-166;73;93;166;166Ta
Ta-167;73;94;167;167Ta
Ta-164;73;91;164;164Ta
Ta-165;73;92;165;165Ta
Ta-163;73;90;163;163Ta
Ta-163;73;90;163;163Ta
Ta-181;73;108;181;181Ta
Ta-180;73;107;180;180Ta
Ta-180;73;107;180;180Ta
Ta-180;73;107;180;180Ta
Ta-180;73;107;180;180Ta
Ta-180;73;107;180;180Ta
Ta-182;73;109;182;182Ta
Ta-182;73;109;182;182Ta
Ta-182;73;109;182;182Ta
Ta-177;73;104;177;177Ta
Ta-176;73;103;176;176Ta
Ta-179;73;106;179;179Ta
Ta-179;73;106;179;179Ta
Ta-179;73;106;179;179Ta
Ta-178;73;105;178;178Ta
Ta-178;73;105;178;178Ta
Ta-178;73;105;178;178Ta
Ta-178;73;105;178;178Ta
Ta-173;73;100;173;173Ta
Ta-175;73;102;175;175Ta
Ta-174;73;101;174;174Ta
Ta-194;73;121;194;194Ta
Ta-194;73;121;194;194Ta
Ta-193;73;120;193;193Ta
Ta-193;73;120;193;193Ta
Ta-192;73;119;192;192Ta
Ta-191;73;118;191;191Ta
Ta-188;73;115;188;188Ta
Ta-187;73;114;187;187Ta
Ta-187;73;114;187;187Ta
Ta-187;73;114;187;187Ta
Ta-187;73;114;187;187Ta
Ta-187;73;114;187;187Ta
Ta-190;73;117;190;190Ta
Ta-189;73;116;189;189Ta
Ta-184;73;111;184;184Ta
Ta-183;73;110;183;183Ta
Ta-186;73;113;186;186Ta
Ta-186;73;113;186;186Ta
Ta-185;73;112;185;185Ta
Ta-185;73;112;185;185Ta
W-191;74;117;191;191W
W-192;74;118;192;192W
W-193;74;119;193;193W
W-187;74;113;187;187W
W-188;74;114;188;188W
W-189;74;115;189;189W
W-190;74;116;190;190W
W-190;74;116;190;190W
W-184;74;110;184;184W
W-185;74;111;185;185W
W-185;74;111;185;185W
W-186;74;112;186;186W
W-186;74;112;186;186W
W-194;74;120;194;194W
W-195;74;121;195;195W
W-196;74;122;196;196W
W-197;74;123;197;197W
W-180;74;106;180;180W
W-180;74;106;180;180W
W-181;74;107;181;181W
W-182;74;108;182;182W
W-183;74;109;183;183W
W-183;74;109;183;183W
W-176;74;102;176;176W
W-177;74;103;177;177W
W-178;74;104;178;178W
W-179;74;105;179;179W
W-179;74;105;179;179W
W-179;74;105;179;179W
W-174;74;100;174;174W
W-175;74;101;175;175W
W-163;74;89;163;163W
W-163;74;89;163;163W
W-162;74;88;162;162W
W-162;74;88;162;162W
W-161;74;87;161;161W
W-161;74;87;161;161W
W-160;74;86;160;160W
W-159;74;85;159;159W
W-159;74;85;159;159W
W-158;74;84;158;158W
W-158;74;84;158;158W
W-158;74;84;158;158W
W-157;74;83;157;157W
W-173;74;99;173;173W
W-172;74;98;172;172W
W-171;74;97;171;171W
W-170;74;96;170;170W
W-169;74;95;169;169W
W-168;74;94;168;168W
W-168;74;94;168;168W
W-167;74;93;167;167W
W-167;74;93;167;167W
W-166;74;92;166;166W
W-166;74;92;166;166W
W-165;74;91;165;165W
W-165;74;91;165;165W
W-164;74;90;164;164W
W-164;74;90;164;164W
Re-193;75;118;193;193Re
Re-194;75;119;194;194Re
Re-194;75;119;194;194Re
Re-194;75;119;194;194Re
Re-191;75;116;191;191Re
Re-192;75;117;192;192Re
Re-185;75;110;185;185Re
Re-186;75;111;186;186Re
Re-186;75;111;186;186Re
Re-186;75;111;186;186Re
Re-189;75;114;189;189Re
Re-190;75;115;190;190Re
Re-190;75;115;190;190Re
Re-190;75;115;190;190Re
Re-187;75;112;187;187Re
Re-187;75;112;187;187Re
Re-188;75;113;188;188Re
Re-188;75;113;188;188Re
Re-196;75;121;196;196Re
Re-197;75;122;197;197Re
Re-195;75;120;195;195Re
Re-198;75;123;198;198Re
Re-198;75;123;198;198Re
Re-199;75;124;199;199Re
Re-199;75;124;199;199Re
Re-182;75;107;182;182Re
Re-182;75;107;182;182Re
Re-183;75;108;183;183Re
Re-183;75;108;183;183Re
Re-183;75;108;183;183Re
Re-183;75;108;183;183Re
Re-180;75;105;180;180Re
Re-181;75;106;181;181Re
Re-184;75;109;184;184Re
Re-184;75;109;184;184Re
Re-184;75;109;184;184Re
Re-175;75;100;175;175Re
Re-178;75;103;178;178Re
Re-179;75;104;179;179Re
Re-179;75;104;179;179Re
Re-176;75;101;176;176Re
Re-177;75;102;177;177Re
Re-164;75;89;164;164Re
Re-164;75;89;164;164Re
Re-164;75;89;164;164Re
Re-164;75;89;164;164Re
Re-163;75;88;163;163Re
Re-163;75;88;163;163Re
Re-163;75;88;163;163Re
Re-163;75;88;163;163Re
Re-162;75;87;162;162Re
Re-162;75;87;162;162Re
Re-162;75;87;162;162Re
Re-162;75;87;162;162Re
Re-161;75;86;161;161Re
Re-161;75;86;161;161Re
Re-161;75;86;161;161Re
Re-161;75;86;161;161Re
Re-161;75;86;161;161Re
Re-160;75;85;160;160Re
Re-160;75;85;160;160Re
Re-159;75;84;159;159Re
Re-174;75;99;174;174Re
Re-173;75;98;173;173Re
Re-172;75;97;172;172Re
Re-172;75;97;172;172Re
Re-171;75;96;171;171Re
Re-170;75;95;170;170Re
Re-169;75;94;169;169Re
Re-169;75;94;169;169Re
Re-169;75;94;169;169Re
Re-169;75;94;169;169Re
Re-169;75;94;169;169Re
Re-168;75;93;168;168Re
Re-168;75;93;168;168Re
Re-167;75;92;167;167Re
Re-167;75;92;167;167Re
Re-167;75;92;167;167Re
Re-166;75;91;166;166Re
Re-166;75;91;166;166Re
Re-165;75;90;165;165Re
Re-165;75;90;165;165Re
Re-165;75;90;165;165Re
Re-165;75;90;165;165Re
Os-166;76;90;166;166Os
Os-166;76;90;166;166Os
Os-167;76;91;167;167Os
Os-167;76;91;167;167Os
Os-168;76;92;168;168Os
Os-168;76;92;168;168Os
Os-169;76;93;169;169Os
Os-169;76;93;169;169Os
Os-170;76;94;170;170Os
Os-170;76;94;170;170Os
Os-171;76;95;171;171Os
Os-171;76;95;171;171Os
Os-172;76;96;172;172Os
Os-172;76;96;172;172Os
Os-173;76;97;173;173Os
Os-173;76;97;173;173Os
Os-174;76;98;174;174Os
Os-174;76;98;174;174Os
Os-175;76;99;175;175Os
Os-161;76;85;161;161Os
Os-162;76;86;162;162Os
Os-163;76;87;163;163Os
Os-163;76;87;163;163Os
Os-164;76;88;164;164Os
Os-164;76;88;164;164Os
Os-165;76;89;165;165Os
Os-165;76;89;165;165Os
Os-202;76;126;202;202Os
Os-203;76;127;203;203Os
Os-203;76;127;203;203Os
Os-196;76;120;196;196Os
Os-197;76;121;197;197Os
Os-198;76;122;198;198Os
Os-199;76;123;199;199Os
Os-200;76;124;200;200Os
Os-201;76;125;201;201Os
Os-191;76;115;191;191Os
Os-191;76;115;191;191Os
Os-192;76;116;192;192Os
Os-192;76;116;192;192Os
Os-192;76;116;192;192Os
Os-193;76;117;193;193Os
Os-194;76;118;194;194Os
Os-195;76;119;195;195Os
Os-186;76;110;186;186Os
Os-187;76;111;187;187Os
Os-188;76;112;188;188Os
Os-189;76;113;189;189Os
Os-189;76;113;189;189Os
Os-190;76;114;190;190Os
Os-190;76;114;190;190Os
Os-180;76;104;180;180Os
Os-181;76;105;181;181Os
Os-181;76;105;181;181Os
Os-181;76;105;181;181Os
Os-182;76;106;182;182Os
Os-182;76;106;182;182Os
Os-183;76;107;183;183Os
Os-183;76;107;183;183Os
Os-183;76;107;183;183Os
Os-183;76;107;183;183Os
Os-184;76;108;184;184Os
Os-185;76;109;185;185Os
Os-176;76;100;176;176Os
Os-177;76;101;177;177Os
Os-178;76;102;178;178Os
Os-178;76;102;178;178Os
Os-179;76;103;179;179Os
Ir-200;77;123;200;200Ir
Ir-201;77;124;201;201Ir
Ir-198;77;121;198;198Ir
Ir-199;77;122;199;199Ir
Ir-197;77;120;197;197Ir
Ir-197;77;120;197;197Ir
Ir-197;77;120;197;197Ir
Ir-204;77;127;204;204Ir
Ir-204;77;127;204;204Ir
Ir-205;77;128;205;205Ir
Ir-205;77;128;205;205Ir
Ir-202;77;125;202;202Ir
Ir-203;77;126;203;203Ir
Ir-189;77;112;189;189Ir
Ir-189;77;112;189;189Ir
Ir-189;77;112;189;189Ir
Ir-190;77;113;190;190Ir
Ir-190;77;113;190;190Ir
Ir-190;77;113;190;190Ir
Ir-190;77;113;190;190Ir
Ir-187;77;110;187;187Ir
Ir-187;77;110;187;187Ir
Ir-188;77;111;188;188Ir
Ir-188;77;111;188;188Ir
Ir-188;77;111;188;188Ir
Ir-195;77;118;195;195Ir
Ir-195;77;118;195;195Ir
Ir-195;77;118;195;195Ir
Ir-196;77;119;196;196Ir
